Number_of_threads,Un-sharded_collection,2_shards_collection,3_shards_collection,4_shards_collection,5_shards_collection,6_shards_collection,Queries_hitting_single_shard
1,72,101,101,100,114,127,93
2,86,111,132,153,161,168,132
3,91,201,248,295,320,344,172
4,96,296,334,372,399,425,212
5,141,379,417,454,507,560,260
6,204,487,525,563,649,734,319
7,284,626,668,710,830,949,391
8,396,802,861,919,1013,1107,593
9,463,896,959,1022,1135,1248,666
10,533,990,1060,1130,1262,1393,741
11,608,1089,1165,1241,1393,1545,821
12,686,1192,1274,1356,1531,1706,904
13,768,1299,1387,1475,1673,1872,992
14,726,1436,1536,1636,1865,2094,1070
15,782,1543,1698,1860,2168,2477,1109
16,839,1650,1825,2000,2471,2941,1150
17,900,1767,1951,2145,2578,3011,1232
18,961,1884,2078,2291,2686,3081,1315
19,1024,2002,2206,2437,2795,3152,1401
20,1088,2122,2335,2584,2905,3224,1488
21,1154,2242,2464,2732,3016,3297,1577
22,1221,2364,2595,2880,3128,3371,1669
23,1290,2486,2726,3030,3242,3446,1762
24,1360,2610,2859,3180,3357,3522,1857
25,1432,2736,2993,3331,3473,3599,1954
26,1505,2862,3128,3483,3590,3677,2053
27,1580,2990,3265,3636,3709,3756,2154
28,1656,3120,3402,3790,3829,3836,2257
29,1734,3251,3541,3945,3950,3917,2362
30,1727,3348,3650,4131,4110,5048,2430
31,1793,3474,3970,4290,5095,6377,2465
32,1860,3600,4025,4450,6080,7710,2500
