Number_of_threads,Un-sharded_collection,2_shards_collection,3_shards_collection,4_shards_collection,5_shards_collection,6_shards_collection,Queries_hitting_single_shard
1,39,23,22,20,20,19,8
2,46,29,27,25,25,25,10
3,64,52,49,46,46,45,11
4,81,78,75,71,70,68,12
5,130,105,99,92,90,87,14
6,189,137,127,116,113,109,15
7,262,173,158,142,137,131,16
8,366,220,198,175,168,160,18
9,430,245,220,195,186,178,20
10,497,271,243,216,206,196,22
11,568,297,267,237,226,215,24
12,643,324,291,259,247,235,26
13,723,352,316,281,268,255,28
14,765,393,355,320,305,291,29
15,838,423,381,344,328,313,31
16,912,452,411,369,352,335,34
17,970,488,442,396,377,358,36
18,1028,525,475,424,404,383,38
19,1088,562,509,454,432,410,40
20,1149,600,543,485,461,437,42
21,1212,639,578,516,491,466,44
22,1276,678,614,548,521,495,46
23,1342,719,651,581,552,524,47
24,1410,760,688,615,584,554,48
25,1479,802,726,649,617,585,50
26,1549,845,765,684,650,616,50
27,1621,889,805,720,684,648,51
28,1695,934,846,756,719,681,52
29,1770,980,887,793,754,715,52
30,1732,1005,909,769,731,708,53
31,1791,1048,954,799,760,736,55
32,1850,1091,960,829,797,764,55
