Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,id,total_queries_count,ts_submit,ts_submit_dt,elapsed_time,scaled_elapsed_time,ts_submit_dt2
0,1,1,7181430122660903956,1,1158705474716,2006-09-19 22:37:54.716,0 days 00:00:00,0 days 00:00:00,2006-09-19 22:37:54.716000000
1,1,2,-6850215107502974893,2,1158706766716,2006-09-19 22:59:26.716,0 days 00:21:32,0 days 00:00:00.404564466,2006-09-19 22:37:55.120564466
2,65,2,-6958963994053097031,67,1158707924716,2006-09-19 23:18:44.716,0 days 00:40:50,0 days 00:00:00.767169461,2006-09-19 22:37:55.483169461
3,1,1,2968060732587960756,1,1158710610716,2006-09-20 00:03:30.716,0 days 01:25:36,0 days 00:00:01.608237695,2006-09-19 22:37:56.324237695
4,1,1,-5769151902591249133,1,1158711688716,2006-09-20 00:21:28.716,0 days 01:43:34,0 days 00:00:01.945792258,2006-09-19 22:37:56.661792258
5,4,4,-1275215769355517922,11,1158713930716,2006-09-20 00:58:50.716,0 days 02:20:56,0 days 00:00:02.647830597,2006-09-19 22:37:57.363830597
6,4,4,3751394044191399446,11,1158714436716,2006-09-20 01:07:16.716,0 days 02:29:22,0 days 00:00:02.806274576,2006-09-19 22:37:57.522274576
7,19,5,3716554695589193108,41,1158715519716,2006-09-20 01:25:19.716,0 days 02:47:25,0 days 00:00:03.145394791,2006-09-19 22:37:57.861394791
8,4,5,3766278521131173912,11,1158716678716,2006-09-20 01:44:38.716,0 days 03:06:44,0 days 00:00:03.508312916,2006-09-19 22:37:58.224312916
9,1,2,-4384706520086604978,2,1158788582716,2006-09-20 21:43:02.716,0 days 23:05:08,0 days 00:00:26.023640648,2006-09-19 22:38:20.739640648
10,1,1,-7101190570887205956,1,1158791971716,2006-09-20 22:39:31.716,1 days 00:01:37,0 days 00:00:27.084839548,2006-09-19 22:38:21.800839548
11,1,2,1647500880136340276,2,1158792853716,2006-09-20 22:54:13.716,1 days 00:16:19,0 days 00:00:27.361020554,2006-09-19 22:38:22.077020554
12,1,1,7592491448400773014,2,1158796498716,2006-09-20 23:54:58.716,1 days 01:17:04,0 days 00:00:28.502380834,2006-09-19 22:38:23.218380834
13,1,2,4275576718493522604,2,1158800741716,2006-09-21 01:05:41.716,1 days 02:27:47,0 days 00:00:29.830993089,2006-09-19 22:38:24.546993089
14,1,2,-3791354583592615996,2,1158802331716,2006-09-21 01:32:11.716,1 days 02:54:17,0 days 00:00:30.328870413,2006-09-19 22:38:25.044870413
