Unnamed: 0;max_concurrent_tasks;aggregation_queries_count;total_queries_count;ts_submit;ts_submit_dt;ts_submit_dt2;standard_queries_count;first_name_queries_count;last_name_queries_count;country_queries_count;other_queries_count
0;1;10;10;1158705474716;2006-09-19 22:37:54.716;2006-09-19 22:37:54.716000000;0;0;0;0;0
1;1;20;20;1158706766716;2006-09-19 22:59:26.716;2006-09-19 22:37:55.120564466;0;0;0;0;0
2;2;20;670;1158707924716;2006-09-19 23:18:44.716;2006-09-19 22:37:55.483169461;650;232;154;148;116
3;1;10;10;1158710610716;2006-09-20 00:03:30.716;2006-09-19 22:37:56.324237695;0;0;0;0;0
4;1;10;10;1158711688716;2006-09-20 00:21:28.716;2006-09-19 22:37:56.661792258;0;0;0;0;0
5;1;40;110;1158713930716;2006-09-20 00:58:50.716;2006-09-19 22:37:57.363830597;70;24;15;17;14
6;1;40;110;1158714436716;2006-09-20 01:07:16.716;2006-09-19 22:37:57.522274576;70;34;11;12;13
7;1;50;410;1158715519716;2006-09-20 01:25:19.716;2006-09-19 22:37:57.861394791;360;154;66;78;62
8;1;50;110;1158716678716;2006-09-20 01:44:38.716;2006-09-19 22:37:58.224312916;60;22;15;14;9
9;1;20;20;1158788582716;2006-09-20 21:43:02.716;2006-09-19 22:38:20.739640648;0;0;0;0;0
10;1;10;10;1158791971716;2006-09-20 22:39:31.716;2006-09-19 22:38:21.800839548;0;0;0;0;0
11;1;20;20;1158792853716;2006-09-20 22:54:13.716;2006-09-19 22:38:22.077020554;0;0;0;0;0
12;1;10;20;1158796498716;2006-09-20 23:54:58.716;2006-09-19 22:38:23.218380834;10;5;2;1;2
13;1;20;20;1158800741716;2006-09-21 01:05:41.716;2006-09-19 22:38:24.546993089;0;0;0;0;0
14;1;20;20;1158802331716;2006-09-21 01:32:11.716;2006-09-19 22:38:25.044870413;0;0;0;0;0
15;1;20;20;1158805470716;2006-09-21 02:24:30.716;2006-09-19 22:38:26.027786715;0;0;0;0;0
16;1;20;20;1158809246716;2006-09-21 03:27:26.716;2006-09-19 22:38:27.210167076;0;0;0;0;0
17;1;20;20;1158818369716;2006-09-21 05:59:29.716;2006-09-19 22:38:30.066855646;0;0;0;0;0
