Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,total_queries_count,ts_submit,ts_submit_dt,ts_submit_dt2,standard_queries_count,first_name_queries_count,last_name_queries_count,country_queries_count,other_queries_count,estimated_shards
0,0,0,0,1,1,10,1158705474716,2006-09-19 22:37:54.716,2006-09-19 22:37:54.716000000,9,3,2,2,2,1
1,1,1,1,1,3,20,1158706766716,2006-09-19 22:59:26.716,2006-09-19 22:37:55.120564466,17,6,4,4,3,1
2,2,2,2,4,107,670,1158707924716,2006-09-19 23:18:44.716,2006-09-19 22:37:55.483169461,563,204,121,136,102,1
3,3,3,3,1,1,10,1158710610716,2006-09-20 00:03:30.716,2006-09-19 22:37:56.324237695,9,4,2,2,1,1
4,4,4,4,1,1,10,1158711688716,2006-09-20 00:21:28.716,2006-09-19 22:37:56.661792258,9,1,2,2,4,1
5,5,5,5,1,8,110,1158713930716,2006-09-20 00:58:50.716,2006-09-19 22:37:57.363830597,102,40,23,20,19,1
6,6,6,6,1,6,110,1158714436716,2006-09-20 01:07:16.716,2006-09-19 22:37:57.522274576,104,38,26,22,18,1
7,7,7,7,1,73,410,1158715519716,2006-09-20 01:25:19.716,2006-09-19 22:37:57.861394791,337,141,68,81,47,1
8,8,8,8,1,15,110,1158716678716,2006-09-20 01:44:38.716,2006-09-19 22:37:58.224312916,95,22,23,23,27,1
9,9,9,9,1,3,20,1158788582716,2006-09-20 21:43:02.716,2006-09-19 22:38:20.739640648,17,5,4,4,4,1
10,10,10,10,1,1,10,1158791971716,2006-09-20 22:39:31.716,2006-09-19 22:38:21.800839548,9,2,2,2,3,1
11,11,11,11,1,3,20,1158792853716,2006-09-20 22:54:13.716,2006-09-19 22:38:22.077020554,17,7,4,4,2,1
12,12,12,12,1,3,20,1158796498716,2006-09-20 23:54:58.716,2006-09-19 22:38:23.218380834,17,6,4,4,3,1
13,13,13,13,1,1,20,1158800741716,2006-09-21 01:05:41.716,2006-09-19 22:38:24.546993089,19,8,4,4,3,1
14,14,14,14,1,1,20,1158802331716,2006-09-21 01:32:11.716,2006-09-19 22:38:25.044870413,19,8,4,4,3,1
15,15,15,15,1,1,20,1158805470716,2006-09-21 02:24:30.716,2006-09-19 22:38:26.027786715,19,4,4,4,7,1
16,16,16,16,1,1,20,1158809246716,2006-09-21 03:27:26.716,2006-09-19 22:38:27.210167076,19,6,4,4,5,1
