Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,total_queries_count,ts_submit,ts_submit_dt,standard_queries_count,first_name_queries_count,last_name_queries_count,country_queries_count,other_queries_count
0,1,1,10,1158705474716,2006-09-19 22:37:54.716,0,0,0,0,0
1,1,3,20,1158706766716,2006-09-19 22:59:26.716,0,0,0,0,0
2,2,107,670,1158707924716,2006-09-19 23:18:44.716,650,232,154,148,116
3,1,1,10,1158710610716,2006-09-20 00:03:30.716,0,0,0,0,0
4,1,1,10,1158711688716,2006-09-20 00:21:28.716,0,0,0,0,0
5,1,8,110,1158713930716,2006-09-20 00:58:50.716,70,24,15,17,14
6,1,6,110,1158714436716,2006-09-20 01:07:16.716,70,34,11,12,13
7,1,73,410,1158715519716,2006-09-20 01:25:19.716,360,154,66,78,62
8,1,15,110,1158716678716,2006-09-20 01:44:38.716,60,22,15,14,9
9,1,3,20,1158788582716,2006-09-20 21:43:02.716,0,0,0,0,0
10,1,1,10,1158791971716,2006-09-20 22:39:31.716,0,0,0,0,0
11,1,3,20,1158792853716,2006-09-20 22:54:13.716,0,0,0,0,0
12,1,3,20,1158796498716,2006-09-20 23:54:58.716,10,5,2,1,2
13,1,1,20,1158800741716,2006-09-21 01:05:41.716,0,0,0,0,0
14,1,1,20,1158802331716,2006-09-21 01:32:11.716,0,0,0,0,0
15,1,1,20,1158805470716,2006-09-21 02:24:30.716,0,0,0,0,0
16,1,1,20,1158809246716,2006-09-21 03:27:26.716,0,0,0,0,0
17,1,2,20,1158818369716,2006-09-21 05:59:29.716,0,0,0,0,0
18,1,2,20,1158860285716,2006-09-21 17:38:05.716,0,0,0,0,0
19,1,1,20,1158872601716,2006-09-21 21:03:21.716,0,0,0,0,0
20,1,2,20,1158873525716,2006-09-21 21:18:45.716,0,0,0,0,0
21,1,1,20,1158874621716,2006-09-21 21:37:01.716,0,0,0,0,0
22,1,1,10,1158876993716,2006-09-21 22:16:33.716,0,0,0,0,0
23,1,1,10,1158975004716,2006-09-23 01:30:04.716,0,0,0,0,0
24,1,2,20,1158975068716,2006-09-23 01:31:08.716,10,3,2,2,3
25,1,67,400,1159230626716,2006-09-26 00:30:26.716,370,126,79,92,73
26,1,32,410,1159230987716,2006-09-26 00:36:27.716,360,179,48,66,67
27,2,83,660,1159296461716,2006-09-26 18:47:41.716,640,257,158,156,69
28,2,184,1330,1159300075716,2006-09-26 19:47:55.716,1280,532,229,284,235
29,5,168,2950,1159305652716,2006-09-26 21:20:52.716,2900,832,725,725,618
30,1,14,100,1159313258716,2006-09-26 23:27:38.716,80,27,17,20,16
31,1,7,100,1159314736716,2006-09-26 23:52:16.716,60,28,15,15,2
32,1,3,60,1159314931716,2006-09-26 23:55:31.716,40,17,8,10,5
33,1,1,10,1159316836716,2006-09-27 00:27:16.716,0,0,0,0,0
34,1,1,10,1159321892716,2006-09-27 01:51:32.716,0,0,0,0,0
35,1,3,20,1159322663716,2006-09-27 02:04:23.716,0,0,0,0,0
36,1,1,20,1159323697716,2006-09-27 02:21:37.716,0,0,0,0,0
37,1,1,20,1159381749716,2006-09-27 18:29:09.716,0,0,0,0,0
38,1,1,10,1159383277716,2006-09-27 18:54:37.716,0,0,0,0,0
39,1,2,20,1159383444716,2006-09-27 18:57:24.716,0,0,0,0,0
40,1,1,20,1159383700716,2006-09-27 19:01:40.716,0,0,0,0,0
41,1,2,20,1159384139716,2006-09-27 19:08:59.716,0,0,0,0,0
42,1,1,20,1159384351716,2006-09-27 19:12:31.716,0,0,0,0,0
43,1,3,20,1159384590716,2006-09-27 19:16:30.716,0,0,0,0,0
44,1,1,10,1159384742716,2006-09-27 19:19:02.716,0,0,0,0,0
45,1,1,10,1159385146716,2006-09-27 19:25:46.716,0,0,0,0,0
46,1,1,20,1159385533716,2006-09-27 19:32:13.716,0,0,0,0,0
47,1,2,20,1159389682716,2006-09-27 20:41:22.716,0,0,0,0,0
48,1,2,20,1159389959716,2006-09-27 20:45:59.716,0,0,0,0,0
49,1,1,10,1159390425716,2006-09-27 20:53:45.716,0,0,0,0,0
50,1,1,10,1159390638716,2006-09-27 20:57:18.716,0,0,0,0,0
51,1,1,10,1159390847716,2006-09-27 21:00:47.716,0,0,0,0,0
52,1,3,20,1159391071716,2006-09-27 21:04:31.716,0,0,0,0,0
53,1,3,20,1159391856716,2006-09-27 21:17:36.716,0,0,0,0,0
54,1,2,20,1159394259716,2006-09-27 21:57:39.716,0,0,0,0,0
55,1,3,20,1159394756716,2006-09-27 22:05:56.716,0,0,0,0,0
56,1,1,20,1159395139716,2006-09-27 22:12:19.716,0,0,0,0,0
57,1,1,10,1159396201716,2006-09-27 22:30:01.716,0,0,0,0,0
58,1,1,10,1159396286716,2006-09-27 22:31:26.716,0,0,0,0,0
59,1,1,10,1159397058716,2006-09-27 22:44:18.716,0,0,0,0,0
60,1,1,10,1159473907716,2006-09-28 20:05:07.716,0,0,0,0,0
61,1,1,10,1159473981716,2006-09-28 20:06:21.716,0,0,0,0,0
62,1,1,10,1159474295716,2006-09-28 20:11:35.716,0,0,0,0,0
63,1,2,20,1159481923716,2006-09-28 22:18:43.716,0,0,0,0,0
64,1,1,10,1159486844716,2006-09-28 23:40:44.716,0,0,0,0,0
65,1,1,10,1159486908716,2006-09-28 23:41:48.716,0,0,0,0,0
66,1,1,10,1159488026716,2006-09-29 00:00:26.716,0,0,0,0,0
67,1,3,20,1159489659716,2006-09-29 00:27:39.716,0,0,0,0,0
68,1,1,10,1159489813716,2006-09-29 00:30:13.716,0,0,0,0,0
69,1,3,20,1159489834716,2006-09-29 00:30:34.716,0,0,0,0,0
70,1,1,10,1159489868716,2006-09-29 00:31:08.716,0,0,0,0,0
71,1,1,20,1159491286716,2006-09-29 00:54:46.716,0,0,0,0,0
72,1,1,10,1159492851716,2006-09-29 01:20:51.716,0,0,0,0,0
73,1,18,110,1159492911716,2006-09-29 01:21:51.716,60,27,8,15,10
74,4,366,2350,1159493418716,2006-09-29 01:30:18.716,2300,703,570,569,458
75,1,1,10,1159493524716,2006-09-29 01:32:04.716,0,0,0,0,0
76,4,389,2350,1159494988716,2006-09-29 01:56:28.716,2300,944,371,531,454
77,4,143,2350,1159550716716,2006-09-29 17:25:16.716,2300,480,575,575,670
78,1,38,370,1159556254716,2006-09-29 18:57:34.716,340,140,85,64,51
79,1,1,20,1159558058716,2006-09-29 19:27:38.716,0,0,0,0,0
80,3,174,970,1159560254716,2006-09-29 20:04:14.716,950,278,237,237,198
81,1,2,20,1159562840716,2006-09-29 20:47:20.716,10,5,2,2,1
82,1,1,10,1159573510716,2006-09-29 23:45:10.716,0,0,0,0,0
83,1,3,60,1159574743716,2006-09-30 00:05:43.716,40,17,5,10,8
84,4,227,2350,1159576364716,2006-09-30 00:32:44.716,2300,805,512,524,459
85,1,1,20,1159578773716,2006-09-30 01:12:53.716,10,5,2,1,2
86,1,15,100,1159578982716,2006-09-30 01:16:22.716,80,22,20,20,18
87,1,1,10,1159579756716,2006-09-30 01:29:16.716,0,0,0,0,0
88,1,71,390,1159581133716,2006-09-30 01:52:13.716,340,111,83,84,62
89,1,49,410,1159811059716,2006-10-02 17:44:19.716,380,110,95,95,80
90,6,116,1710,1159811515716,2006-10-02 17:51:55.716,1690,543,403,409,335
91,1,1,10,1159815549716,2006-10-02 18:59:09.716,0,0,0,0,0
92,1,67,410,1159815654716,2006-10-02 19:00:54.716,380,125,91,91,73
93,1,1,10,1159815836716,2006-10-02 19:03:56.716,0,0,0,0,0
94,1,3,20,1159816208716,2006-10-02 19:10:08.716,0,0,0,0,0
95,1,2,20,1159816592716,2006-10-02 19:16:32.716,0,0,0,0,0
96,1,2,20,1159816924716,2006-10-02 19:22:04.716,0,0,0,0,0
97,1,1,10,1159817259716,2006-10-02 19:27:39.716,0,0,0,0,0
98,1,1,10,1159817433716,2006-10-02 19:30:33.716,0,0,0,0,0
99,7,136,2060,1159818473716,2006-10-02 19:47:53.716,2040,409,510,510,611
100,1,1,20,1159819830716,2006-10-02 20:10:30.716,0,0,0,0,0
101,1,2,20,1159820002716,2006-10-02 20:13:22.716,0,0,0,0,0
102,1,1,20,1159820214716,2006-10-02 20:16:54.716,0,0,0,0,0
103,1,1,10,1159820627716,2006-10-02 20:23:47.716,0,0,0,0,0
104,1,1,10,1159832513716,2006-10-02 23:41:53.716,0,0,0,0,0
105,1,1,20,1159837754716,2006-10-03 01:09:14.716,10,3,2,2,3
106,1,1,10,1159840320716,2006-10-03 01:52:00.716,0,0,0,0,0
107,1,1,10,1159840428716,2006-10-03 01:53:48.716,0,0,0,0,0
108,1,1,10,1159841885716,2006-10-03 02:18:05.716,0,0,0,0,0
109,1,1,10,1159842665716,2006-10-03 02:31:05.716,0,0,0,0,0
110,1,1,10,1159904979716,2006-10-03 19:49:39.716,0,0,0,0,0
111,1,1,20,1159907163716,2006-10-03 20:26:03.716,0,0,0,0,0
112,1,3,20,1159907592716,2006-10-03 20:33:12.716,0,0,0,0,0
113,1,1,10,1159909127716,2006-10-03 20:58:47.716,0,0,0,0,0
114,1,1,10,1159909327716,2006-10-03 21:02:07.716,0,0,0,0,0
115,1,3,20,1159910044716,2006-10-03 21:14:04.716,0,0,0,0,0
116,1,1,10,1159912187716,2006-10-03 21:49:47.716,0,0,0,0,0
117,1,1,10,1159912770716,2006-10-03 21:59:30.716,0,0,0,0,0
118,1,1,10,1159915296716,2006-10-03 22:41:36.716,0,0,0,0,0
119,3,106,810,1159916135716,2006-10-03 22:55:35.716,790,291,197,185,117
120,1,1,10,1159918173716,2006-10-03 23:29:33.716,0,0,0,0,0
121,3,145,790,1159919683716,2006-10-03 23:54:43.716,770,157,192,192,229
122,1,1,10,1159921566716,2006-10-04 00:26:06.716,0,0,0,0,0
123,1,1,10,1159922942716,2006-10-04 00:49:02.716,0,0,0,0,0
124,1,1,10,1159923251716,2006-10-04 00:54:11.716,0,0,0,0,0
125,1,1,10,1159925165716,2006-10-04 01:26:05.716,0,0,0,0,0
126,1,1,10,1159925240716,2006-10-04 01:27:20.716,0,0,0,0,0
127,1,1,10,1159925790716,2006-10-04 01:36:30.716,0,0,0,0,0
128,1,1,10,1159940496716,2006-10-04 05:41:36.716,0,0,0,0,0
129,1,2,20,1159941362716,2006-10-04 05:56:02.716,10,3,2,2,3
130,1,1,10,1159985916716,2006-10-04 18:18:36.716,0,0,0,0,0
131,1,1,10,1159987291716,2006-10-04 18:41:31.716,0,0,0,0,0
132,1,2,40,1159987647716,2006-10-04 18:47:27.716,10,2,2,2,4
133,1,4,40,1159988156716,2006-10-04 18:55:56.716,10,4,2,2,2
134,1,1,10,1159988953716,2006-10-04 19:09:13.716,0,0,0,0,0
135,1,10,110,1159989135716,2006-10-04 19:12:15.716,60,29,13,7,11
136,1,14,110,1159989875716,2006-10-04 19:24:35.716,70,23,17,17,13
137,1,17,110,1159990360716,2006-10-04 19:32:40.716,60,25,14,15,6
