Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,total_queries_count,ts_submit,ts_submit_dt,standard_queries_count,first_name_queries_count,last_name_queries_count,country_queries_count,other_queries_count
0,1,1,10,1158705474716,2006-09-19 22:37:54.716,9,3,2,2,2
1,1,3,20,1158706766716,2006-09-19 22:59:26.716,17,6,4,4,3
2,2,107,670,1158707924716,2006-09-19 23:18:44.716,563,204,121,136,102
3,1,1,10,1158710610716,2006-09-20 00:03:30.716,9,4,2,2,1
4,1,1,10,1158711688716,2006-09-20 00:21:28.716,9,1,2,2,4
5,1,8,110,1158713930716,2006-09-20 00:58:50.716,102,40,23,20,19
6,1,6,110,1158714436716,2006-09-20 01:07:16.716,104,38,26,22,18
7,1,73,410,1158715519716,2006-09-20 01:25:19.716,337,141,68,81,47
8,1,15,110,1158716678716,2006-09-20 01:44:38.716,95,22,23,23,27
9,1,3,20,1158788582716,2006-09-20 21:43:02.716,17,5,4,4,4
10,1,1,10,1158791971716,2006-09-20 22:39:31.716,9,2,2,2,3
11,1,3,20,1158792853716,2006-09-20 22:54:13.716,17,7,4,4,2
12,1,3,20,1158796498716,2006-09-20 23:54:58.716,17,6,4,4,3
13,1,1,20,1158800741716,2006-09-21 01:05:41.716,19,8,4,4,3
14,1,1,20,1158802331716,2006-09-21 01:32:11.716,19,8,4,4,3
15,1,1,20,1158805470716,2006-09-21 02:24:30.716,19,4,4,4,7
16,1,1,20,1158809246716,2006-09-21 03:27:26.716,19,6,4,4,5
17,1,2,20,1158818369716,2006-09-21 05:59:29.716,18,7,4,4,3
18,1,2,20,1158860285716,2006-09-21 17:38:05.716,18,3,4,4,7
19,1,1,20,1158872601716,2006-09-21 21:03:21.716,19,6,4,4,5
20,1,2,20,1158873525716,2006-09-21 21:18:45.716,18,4,4,4,6
21,1,1,20,1158874621716,2006-09-21 21:37:01.716,19,8,4,4,3
22,1,1,10,1158876993716,2006-09-21 22:16:33.716,9,1,2,2,4
23,1,1,10,1158975004716,2006-09-23 01:30:04.716,9,4,2,2,1
24,1,2,20,1158975068716,2006-09-23 01:31:08.716,18,3,4,4,7
25,1,67,400,1159230626716,2006-09-26 00:30:26.716,333,114,80,83,56
26,1,32,410,1159230987716,2006-09-26 00:36:27.716,378,116,94,94,74
27,2,83,660,1159296461716,2006-09-26 18:47:41.716,577,129,144,144,160
28,2,184,1330,1159300075716,2006-09-26 19:47:55.716,1146,418,274,271,183
29,5,168,2950,1159305652716,2006-09-26 21:20:52.716,2782,1118,467,692,505
30,1,14,100,1159313258716,2006-09-26 23:27:38.716,86,41,9,19,17
31,1,7,100,1159314736716,2006-09-26 23:52:16.716,93,36,22,21,14
32,1,3,60,1159314931716,2006-09-26 23:55:31.716,57,19,13,14,11
33,1,1,10,1159316836716,2006-09-27 00:27:16.716,9,2,2,2,3
34,1,1,10,1159321892716,2006-09-27 01:51:32.716,9,4,2,2,1
35,1,3,20,1159322663716,2006-09-27 02:04:23.716,17,3,4,4,6
36,1,1,20,1159323697716,2006-09-27 02:21:37.716,19,6,4,4,5
37,1,1,20,1159381749716,2006-09-27 18:29:09.716,19,8,4,4,3
38,1,1,10,1159383277716,2006-09-27 18:54:37.716,9,2,2,2,3
39,1,2,20,1159383444716,2006-09-27 18:57:24.716,18,4,4,4,6
40,1,1,20,1159383700716,2006-09-27 19:01:40.716,19,3,4,4,8
41,1,2,20,1159384139716,2006-09-27 19:08:59.716,18,4,4,4,6
42,1,1,20,1159384351716,2006-09-27 19:12:31.716,19,7,4,4,4
43,1,3,20,1159384590716,2006-09-27 19:16:30.716,17,4,4,4,5
44,1,1,10,1159384742716,2006-09-27 19:19:02.716,9,4,2,2,1
45,1,1,10,1159385146716,2006-09-27 19:25:46.716,9,4,2,2,1
46,1,1,20,1159385533716,2006-09-27 19:32:13.716,19,9,4,3,3
47,1,2,20,1159389682716,2006-09-27 20:41:22.716,18,6,4,4,4
48,1,2,20,1159389959716,2006-09-27 20:45:59.716,18,7,4,4,3
49,1,1,10,1159390425716,2006-09-27 20:53:45.716,9,4,2,2,1
50,1,1,10,1159390638716,2006-09-27 20:57:18.716,9,3,2,2,2
51,1,1,10,1159390847716,2006-09-27 21:00:47.716,9,3,2,2,2
52,1,3,20,1159391071716,2006-09-27 21:04:31.716,17,8,2,4,3
53,1,3,20,1159391856716,2006-09-27 21:17:36.716,17,6,4,4,3
54,1,2,20,1159394259716,2006-09-27 21:57:39.716,18,4,4,4,6
55,1,3,20,1159394756716,2006-09-27 22:05:56.716,17,6,4,4,3
56,1,1,20,1159395139716,2006-09-27 22:12:19.716,19,4,4,4,7
57,1,1,10,1159396201716,2006-09-27 22:30:01.716,9,2,2,2,3
58,1,1,10,1159396286716,2006-09-27 22:31:26.716,9,2,2,2,3
59,1,1,10,1159397058716,2006-09-27 22:44:18.716,9,2,2,2,3
60,1,1,10,1159473907716,2006-09-28 20:05:07.716,9,2,2,2,3
61,1,1,10,1159473981716,2006-09-28 20:06:21.716,9,4,2,2,1
62,1,1,10,1159474295716,2006-09-28 20:11:35.716,9,2,2,2,3
63,1,2,20,1159481923716,2006-09-28 22:18:43.716,18,7,4,4,3
64,1,1,10,1159486844716,2006-09-28 23:40:44.716,9,3,2,2,2
65,1,1,10,1159486908716,2006-09-28 23:41:48.716,9,2,2,2,3
66,1,1,10,1159488026716,2006-09-29 00:00:26.716,9,2,2,2,3
67,1,3,20,1159489659716,2006-09-29 00:27:39.716,17,6,4,4,3
68,1,1,10,1159489813716,2006-09-29 00:30:13.716,9,2,2,2,3
69,1,3,20,1159489834716,2006-09-29 00:30:34.716,17,4,4,4,5
70,1,1,10,1159489868716,2006-09-29 00:31:08.716,9,2,2,2,3
71,1,1,20,1159491286716,2006-09-29 00:54:46.716,19,6,4,4,5
72,1,1,10,1159492851716,2006-09-29 01:20:51.716,9,2,2,2,3
73,1,18,110,1159492911716,2006-09-29 01:21:51.716,92,33,23,21,15
74,4,366,2350,1159493418716,2006-09-29 01:30:18.716,1984,691,485,491,317
75,1,1,10,1159493524716,2006-09-29 01:32:04.716,9,1,2,2,4
76,4,389,2350,1159494988716,2006-09-29 01:56:28.716,1961,729,460,432,340
77,4,143,2350,1159550716716,2006-09-29 17:25:16.716,2207,657,551,551,448
78,1,38,370,1159556254716,2006-09-29 18:57:34.716,332,125,70,79,58
79,1,1,20,1159558058716,2006-09-29 19:27:38.716,19,7,4,4,4
80,3,174,970,1159560254716,2006-09-29 20:04:14.716,796,173,199,199,225
81,1,2,20,1159562840716,2006-09-29 20:47:20.716,18,7,4,4,3
82,1,1,10,1159573510716,2006-09-29 23:45:10.716,9,1,2,2,4
83,1,3,60,1159574743716,2006-09-30 00:05:43.716,57,17,14,14,12
84,4,227,2350,1159576364716,2006-09-30 00:32:44.716,2123,944,353,464,362
85,1,1,20,1159578773716,2006-09-30 01:12:53.716,19,5,4,4,6
86,1,15,100,1159578982716,2006-09-30 01:16:22.716,85,35,12,21,17
87,1,1,10,1159579756716,2006-09-30 01:29:16.716,9,4,2,2,1
88,1,71,390,1159581133716,2006-09-30 01:52:13.716,319,97,79,79,64
89,1,49,410,1159811059716,2006-10-02 17:44:19.716,361,106,90,90,75
90,6,116,1710,1159811515716,2006-10-02 17:51:55.716,1594,606,394,280,314
91,1,1,10,1159815549716,2006-10-02 18:59:09.716,9,2,2,2,3
92,1,67,410,1159815654716,2006-10-02 19:00:54.716,343,170,60,72,41
93,1,1,10,1159815836716,2006-10-02 19:03:56.716,9,3,2,2,2
94,1,3,20,1159816208716,2006-10-02 19:10:08.716,17,3,4,4,6
95,1,2,20,1159816592716,2006-10-02 19:16:32.716,18,6,4,4,4
96,1,2,20,1159816924716,2006-10-02 19:22:04.716,18,4,4,4,6
97,1,1,10,1159817259716,2006-10-02 19:27:39.716,9,1,2,2,4
98,1,1,10,1159817433716,2006-10-02 19:30:33.716,9,4,2,2,1
99,7,136,2060,1159818473716,2006-10-02 19:47:53.716,1924,886,234,443,361
