ts_submit_dt2,max_concurrent_tasks,aggregation_queries_count,id,total_queries_count,ts_submit,ts_submit_dt
1970-01-01 00:08:57.754058360,3,10,24345,12,1970-01-01 02:11:32.997578,1970-04-02 08:29:57.578
1970-01-01 00:02:14.224972033,1,2,21436,2,1970-01-01 00:32:50.115079,1970-01-23 19:15:15.079
1970-01-01 00:02:45.772818447,2,1,21722,2,1970-01-01 00:40:33.165188,1970-01-29 03:52:45.188
1970-01-01 00:02:54.469630196,5,3,21796,7,1970-01-01 00:42:40.814460,1970-01-30 15:20:14.460
1970-01-01 00:03:04.318959343,1,1,21852,1,1970-01-01 00:45:05.380047,1970-02-01 07:29:40.047
1970-01-01 00:03:04.348312562,1,1,21854,1,1970-01-01 00:45:05.810885,1970-02-01 07:36:50.885
1970-01-01 00:03:07.055650882,1,1,21859,1,1970-01-01 00:45:45.548409,1970-02-01 18:39:08.409
1970-01-01 00:03:04.437850991,1,1,21855,1,1970-01-01 00:45:07.125104,1970-02-01 07:58:45.104
1970-01-01 00:03:09.906424257,1,1,21860,1,1970-01-01 00:46:27.391231,1970-02-02 06:16:31.231
1970-01-01 00:09:19.701444643,1,1,24449,1,1970-01-01 02:16:55.134927,1970-04-06 01:58:54.927
1970-01-01 00:09:19.711112637,1,1,24450,1,1970-01-01 02:16:55.276831,1970-04-06 02:01:16.831
1970-01-01 00:09:19.729791778,1,1,24452,1,1970-01-01 02:16:55.550998,1970-04-06 02:05:50.998
1970-01-01 00:04:58.079599160,1,3,22378,3,1970-01-01 01:12:55.125613,1970-02-20 15:18:45.613
1970-01-01 00:05:05.120396198,2,5,22476,6,1970-01-01 01:14:38.468383,1970-02-21 20:01:08.383
1970-01-01 00:04:54.141509229,1,1,22343,1,1970-01-01 01:11:57.323475,1970-02-19 23:15:23.475
1970-01-01 00:04:57.683140898,2,3,22377,4,1970-01-01 01:12:49.306514,1970-02-20 13:41:46.514
1970-01-01 00:04:54.316498255,1,1,22345,1,1970-01-01 01:11:59.891913,1970-02-19 23:58:11.913
1970-01-01 00:09:38.941071151,2,2,24652,3,1970-01-01 02:21:37.528566,1970-04-09 08:25:28.566
1970-01-01 00:04:54.167081340,1,6,22342,6,1970-01-01 01:11:57.698815,1970-02-19 23:21:38.815
1970-01-01 00:15:53.459952872,2,3,28573,4,1970-01-01 03:53:14.607724,1970-06-11 23:23:27.724
1970-01-01 00:09:37.879416160,2,3,24644,4,1970-01-01 02:21:21.945903,1970-04-09 04:05:45.903
1970-01-01 00:04:57.405186007,1,4,22375,4,1970-01-01 01:12:45.226773,1970-02-20 12:33:46.773
1970-01-01 00:04:57.235696954,1,4,22374,4,1970-01-01 01:12:42.739062,1970-02-20 11:52:19.062
1970-01-01 00:09:54.999552288,7,3,24743,9,1970-01-01 02:25:33.230279,1970-04-12 01:53:50.279
1970-01-01 00:05:08.171735616,1,2,22502,2,1970-01-01 01:15:23.255055,1970-02-22 08:27:35.055
1970-01-01 00:09:55.031574112,8,3,24747,10,1970-01-01 02:25:33.700286,1970-04-12 02:01:40.286
1970-01-01 00:06:06.397199239,3,8,23263,10,1970-01-01 01:29:37.871466,1970-03-04 05:51:11.466
1970-01-01 00:10:31.810618531,1,2,24950,2,1970-01-01 02:34:33.532397,1970-04-18 07:58:52.397
1970-01-01 00:10:28.700190465,1,2,24910,2,1970-01-01 02:33:47.878439,1970-04-17 19:17:58.439
1970-01-01 00:06:21.816836399,1,2,23524,2,1970-01-01 01:33:24.196413,1970-03-06 20:43:16.413
1970-01-01 00:06:16.947970349,1,2,23475,2,1970-01-01 01:32:12.732614,1970-03-06 00:52:12.614
1970-01-01 00:06:23.018278327,1,2,23533,2,1970-01-01 01:33:41.830828,1970-03-07 01:37:10.828
1970-01-01 00:06:21.867207611,1,12,23525,12,1970-01-01 01:33:24.935747,1970-03-06 20:55:35.747
1970-01-01 00:06:22.851308060,1,2,23531,2,1970-01-01 01:33:39.380087,1970-03-07 00:56:20.087
1970-01-01 00:06:43.797160315,1,1,23622,1,1970-01-01 01:38:46.817211,1970-03-10 14:20:17.211
1970-01-01 00:06:51.752819953,3,7,23669,11,1970-01-01 01:40:43.588068,1970-03-11 22:46:28.068
1970-01-01 00:06:53.041722942,1,4,23685,4,1970-01-01 01:41:02.506211,1970-03-12 04:01:46.211
1970-01-01 00:06:52.828099685,1,1,23681,1,1970-01-01 01:40:59.370711,1970-03-12 03:09:30.711
1970-01-01 00:06:51.576780354,3,5,23671,9,1970-01-01 01:40:41.004210,1970-03-11 22:03:24.210
1970-01-01 00:11:23.573179800,1,1,25957,1,1970-01-01 02:47:13.288208,1970-04-27 03:01:28.208
1970-01-01 00:11:23.534113281,1,1,25949,1,1970-01-01 02:47:12.714801,1970-04-27 02:51:54.801
1970-01-01 00:11:23.570343663,1,1,25956,1,1970-01-01 02:47:13.246580,1970-04-27 03:00:46.580
1970-01-01 00:11:23.529006353,1,1,25948,1,1970-01-01 02:47:12.639843,1970-04-27 02:50:39.843
1970-01-01 00:07:11.767202998,8,3,23738,17,1970-01-01 01:45:37.353358,1970-03-15 08:22:33.358
1970-01-01 00:07:29.257237590,3,3,23820,7,1970-01-01 01:49:54.066996,1970-03-18 07:41:06.996
1970-01-01 00:07:27.468504075,8,7,23815,21,1970-01-01 01:49:27.812486,1970-03-18 00:23:32.486
1970-01-01 00:07:26.644081271,8,5,23780,19,1970-01-01 01:49:15.711848,1970-03-17 21:01:51.848
1970-01-01 00:07:26.827855047,3,7,23818,11,1970-01-01 01:49:18.409226,1970-03-17 21:46:49.226
1970-01-01 00:07:26.892183887,8,3,23822,17,1970-01-01 01:49:19.353426,1970-03-17 22:02:33.426
1970-01-01 00:07:21.846955096,1,4,23797,4,1970-01-01 01:48:05.301026,1970-03-17 01:28:21.026
1970-01-01 00:07:14.560845931,8,7,23777,21,1970-01-01 01:46:18.357636,1970-03-15 19:45:57.636
1970-01-01 00:07:29.662525840,5,15,23833,21,1970-01-01 01:50:00.015699,1970-03-18 09:20:15.699
1970-01-01 00:46:49.447370965,8,1,46504,8,1970-01-01 11:27:16.250940,1971-04-23 06:30:50.940
1970-01-01 00:00:17.143394867,2,3,20490,4,1970-01-01 00:04:11.625761,1970-01-03 21:53:45.761
1970-01-01 00:00:17.247318510,2,3,20514,4,1970-01-01 00:04:13.151122,1970-01-03 22:19:11.122
1970-01-01 00:00:17.773107515,1,4,20560,4,1970-01-01 00:04:20.868500,1970-01-04 00:27:48.500
1970-01-01 00:00:17.332302891,2,3,20519,4,1970-01-01 00:04:14.398498,1970-01-03 22:39:58.498
1970-01-01 00:00:00.000000000,1,1,20196,1,1970-01-01 00:00:00.000000,1970-01-01 00:00:00.000
1970-01-01 00:00:53.167678171,1,2,20781,2,1970-01-01 00:13:00.379708,1970-01-10 00:46:19.708
1970-01-01 00:01:15.704529677,1,1,20941,1,1970-01-01 00:18:31.169056,1970-01-13 20:39:29.056
1970-01-01 00:00:07.690432891,1,1,20346,1,1970-01-01 00:01:52.877936,1970-01-02 07:21:17.936
1970-01-01 00:01:07.115574135,2,2,20913,4,1970-01-01 00:16:25.102866,1970-01-12 09:38:22.866
1970-01-01 00:01:15.746421433,1,1,20943,1,1970-01-01 00:18:31.783931,1970-01-13 20:49:43.931
1970-01-01 00:01:15.582356932,1,1,20938,1,1970-01-01 00:18:29.375840,1970-01-13 20:09:35.840
1970-01-01 00:00:05.740336727,2,3,20253,4,1970-01-01 00:01:24.254992,1970-01-01 23:24:14.992
1970-01-01 00:01:22.682819208,2,4,21006,5,1970-01-01 00:20:13.594359,1970-01-15 01:06:34.359
1970-01-01 00:01:37.942688519,1,1,21153,1,1970-01-01 00:23:57.574280,1970-01-17 15:19:34.280
1970-01-01 00:02:01.779100058,1,2,21279,2,1970-01-01 00:29:47.438192,1970-01-21 16:30:38.192
1970-01-01 00:02:01.836161075,1,1,21281,1,1970-01-01 00:29:48.275717,1970-01-21 16:44:35.717
1970-01-01 00:08:26.425527848,2,3,24146,4,1970-01-01 02:03:53.166524,1970-03-28 00:46:06.524
1970-01-01 00:02:01.694862116,1,2,21278,2,1970-01-01 00:29:46.201772,1970-01-21 16:10:01.772
1970-01-01 00:02:14.260135082,1,2,21438,2,1970-01-01 00:32:50.631192,1970-01-23 19:23:51.192
1970-01-01 00:02:14.575809007,1,2,21443,2,1970-01-01 00:32:55.264562,1970-01-23 20:41:04.562
1970-01-01 00:02:14.550197312,1,3,20600,3,1970-01-01 00:32:54.888641,1970-01-23 20:34:48.641
1970-01-01 00:28:46.089320031,1,5,35091,5,1970-01-01 07:02:15.036734,1970-10-21 05:30:36.734
1970-01-01 00:28:46.168067334,1,5,35093,5,1970-01-01 07:02:16.192564,1970-10-21 05:49:52.564
1970-01-01 00:21:17.969519830,1,1,31271,1,1970-01-01 05:12:37.664713,1970-08-06 02:27:44.713
1970-01-01 00:21:17.199154304,2,1,30612,2,1970-01-01 05:12:26.357512,1970-08-05 23:19:17.512
1970-01-01 00:21:31.317589757,1,14,31408,14,1970-01-01 05:15:53.583799,1970-08-08 08:53:03.799
1970-01-01 00:28:43.890059709,20,2,29790,21,1970-01-01 07:01:42.756631,1970-10-20 20:32:36.631
1970-01-01 00:15:59.260125572,2,3,28625,4,1970-01-01 03:54:39.740971,1970-06-12 23:02:20.971
1970-01-01 00:16:00.420414212,2,3,28659,4,1970-01-01 03:54:56.771350,1970-06-13 03:46:11.350
1970-01-01 00:16:37.094704477,1,5,28894,5,1970-01-01 04:03:55.065910,1970-06-19 09:17:45.910
1970-01-01 00:16:25.688555118,1,18,28774,18,1970-01-01 04:01:07.649769,1970-06-17 10:47:29.769
1970-01-01 00:16:23.892717089,3,3,28767,6,1970-01-01 04:00:41.290981,1970-06-17 03:28:10.981
1970-01-01 00:16:36.900793492,1,5,28893,5,1970-01-01 04:03:52.219741,1970-06-19 08:30:19.741
1970-01-01 00:16:40.506269594,1,1,28912,1,1970-01-01 04:04:45.139870,1970-06-19 23:12:19.870
1970-01-01 00:46:53.614761260,1,3,33719,3,1970-01-01 11:28:17.418682,1971-04-23 23:30:18.682
1970-01-01 00:46:53.940692712,1,3,46567,3,1970-01-01 11:28:22.202609,1971-04-24 00:50:02.609
1970-01-01 00:21:42.095179372,1,2,31531,2,1970-01-01 05:18:31.774123,1970-08-10 04:49:34.123
1970-01-01 00:21:42.305396648,9,2,31545,10,1970-01-01 05:18:34.859631,1970-08-10 05:40:59.631
1970-01-01 00:21:42.430931566,9,2,31552,10,1970-01-01 05:18:36.702196,1970-08-10 06:11:42.196
1970-01-01 00:21:42.374125085,9,2,31550,10,1970-01-01 05:18:35.868407,1970-08-10 05:57:48.407
1970-01-01 00:21:42.130682256,9,2,31540,10,1970-01-01 05:18:32.295224,1970-08-10 04:58:15.224
1970-01-01 00:16:40.785244194,1,1,28932,1,1970-01-01 04:04:49.234578,1970-06-20 00:20:34.578
1970-01-01 00:11:56.759134451,2,2,26345,3,1970-01-01 02:55:20.381993,1970-05-02 18:19:41.993
1970-01-01 00:28:47.406411820,1,6,35098,6,1970-01-01 07:02:34.368624,1970-10-21 10:52:48.624
1970-01-01 00:12:20.601528396,2,2,26638,3,1970-01-01 03:01:10.333713,1970-05-06 19:32:13.713
1970-01-01 00:35:50.768223755,1,2,39558,2,1970-01-01 08:46:08.350098,1971-01-01 08:59:10.098
1970-01-01 00:46:54.191043839,1,1,46574,1,1970-01-01 11:28:25.877190,1971-04-24 01:51:17.190
1970-01-01 00:28:44.319870656,8,2,35060,9,1970-01-01 07:01:49.065271,1970-10-20 22:17:45.271
1970-01-01 00:37:05.233132044,1,3,33319,3,1970-01-01 09:04:21.324352,1971-01-14 00:35:24.352
1970-01-01 00:28:44.345485757,4,2,35062,5,1970-01-01 07:01:49.441242,1970-10-20 22:24:01.242
1970-01-01 00:24:53.622078051,1,3,32723,3,1970-01-01 06:05:22.950206,1970-09-11 17:42:30.206
1970-01-01 00:16:50.709375343,1,3,29080,3,1970-01-01 04:07:14.898087,1970-06-21 16:48:18.087
1970-01-01 00:16:53.923688150,1,3,29100,3,1970-01-01 04:08:02.076835,1970-06-22 05:54:36.835
1970-01-01 00:16:44.682645896,1,18,28967,18,1970-01-01 04:05:46.439506,1970-06-20 16:13:59.506
1970-01-01 00:24:53.622110958,8,2,33311,9,1970-01-01 06:05:22.950689,1970-09-11 17:42:30.689
1970-01-01 00:37:05.446414989,1,3,38025,3,1970-01-01 09:04:24.454857,1971-01-14 01:27:34.857
1970-01-01 00:16:48.108922301,2,13,29069,18,1970-01-01 04:06:36.729394,1970-06-21 06:12:09.394
1970-01-01 00:16:54.066288470,4,37,29106,82,1970-01-01 04:08:04.169881,1970-06-22 06:29:29.881
1970-01-01 00:16:54.364291109,4,37,29108,82,1970-01-01 04:08:08.543877,1970-06-22 07:42:23.877
1970-01-01 00:16:53.863291668,2,3,29092,6,1970-01-01 04:08:01.190353,1970-06-22 05:39:50.353
1970-01-01 00:16:53.213964787,1,5,28164,5,1970-01-01 04:07:51.659722,1970-06-22 03:00:59.722
1970-01-01 00:16:53.895332840,2,13,29098,18,1970-01-01 04:08:01.660644,1970-06-22 05:47:40.644
1970-01-01 00:12:47.453346702,2,4,26972,5,1970-01-01 03:07:44.456888,1970-05-11 09:00:56.888
1970-01-01 00:46:59.429942638,1,4,45512,4,1970-01-01 11:29:42.772222,1971-04-24 23:12:52.222
1970-01-01 00:28:50.387184502,1,6,35129,6,1970-01-01 07:03:18.119538,1970-10-21 23:01:59.538
1970-01-01 00:16:53.867157189,2,3,29094,6,1970-01-01 04:08:01.247090,1970-06-22 05:40:47.090
1970-01-01 00:16:57.187320985,4,37,29121,82,1970-01-01 04:08:49.979488,1970-06-22 19:12:59.488
1970-01-01 00:16:53.892057465,2,13,29096,18,1970-01-01 04:08:01.612569,1970-06-22 05:46:52.569
1970-01-01 00:13:01.137491080,1,1,27071,1,1970-01-01 03:11:05.308777,1970-05-13 16:48:28.777
1970-01-01 00:22:05.253441412,1,3,32011,3,1970-01-01 05:24:11.684354,1970-08-14 03:14:44.354
1970-01-01 00:24:54.472124336,1,3,33352,3,1970-01-01 06:05:35.426938,1970-09-11 21:10:26.938
1970-01-01 00:24:55.027366098,1,3,33371,3,1970-01-01 06:05:43.576615,1970-09-11 23:26:16.615
1970-01-01 00:22:27.868081693,6,6,32228,11,1970-01-01 05:29:43.615463,1970-08-17 23:26:55.463
1970-01-01 00:22:28.873173632,1,4,32234,4,1970-01-01 05:29:58.367910,1970-08-18 03:32:47.910
1970-01-01 00:22:34.294424186,1,4,32290,4,1970-01-01 05:31:17.939448,1970-08-19 01:38:59.448
1970-01-01 00:22:31.047234926,1,3,32237,3,1970-01-01 05:30:30.278149,1970-08-18 12:24:38.149
1970-01-01 00:22:35.086388450,1,4,32302,4,1970-01-01 05:31:29.563669,1970-08-19 04:52:43.669
1970-01-01 00:22:27.756823798,6,6,32219,11,1970-01-01 05:29:41.982452,1970-08-17 22:59:42.452
1970-01-01 00:47:12.673106615,3,3,46450,6,1970-01-01 11:32:57.151529,1971-04-27 05:12:31.529
1970-01-01 00:13:14.641637954,1,1,27189,1,1970-01-01 03:14:23.518715,1970-05-15 23:51:58.715
1970-01-01 00:13:14.933118185,2,3,27199,5,1970-01-01 03:14:27.796977,1970-05-16 01:03:16.977
1970-01-01 00:13:21.311801401,8,4,27256,11,1970-01-01 03:16:01.421433,1970-05-17 03:03:41.433
1970-01-01 00:13:33.135736055,1,3,27270,3,1970-01-01 03:18:54.969705,1970-05-19 03:16:09.705
1970-01-01 00:13:39.971264682,2,3,27341,4,1970-01-01 03:20:35.299605,1970-05-20 07:08:19.605
1970-01-01 00:22:36.021986847,1,9,32316,9,1970-01-01 05:31:43.296110,1970-08-19 08:41:36.110
1970-01-01 00:47:11.348111958,5,3,46433,7,1970-01-01 11:32:37.703643,1971-04-26 23:48:23.643
1970-01-01 00:17:23.292392437,4,37,29501,82,1970-01-01 04:15:13.142130,1970-06-27 05:39:02.130
