ts_submit_dt2,max_concurrent_tasks,aggregation_queries_count,id,total_queries_count,ts_submit,ts_submit_dt,max_concurrent_tasks_original
1970-01-01 00:00:00.000000000,1,0,20196,2,1970-01-01 00:00:00.000000,1970-01-01 00:00:00.000,1
1970-01-01 00:00:05.740336727,2,0,20253,2,1970-01-01 00:01:24.254992,1970-01-01 23:24:14.992,2
1970-01-01 00:00:07.690432891,2,1,20346,3,1970-01-01 00:01:52.877936,1970-01-02 07:21:17.936,1
1970-01-01 00:00:17.143394867,2,1,20490,4,1970-01-01 00:04:11.625761,1970-01-03 21:53:45.761,2
1970-01-01 00:00:17.247318510,2,1,20514,4,1970-01-01 00:04:13.151122,1970-01-03 22:19:11.122,2
1970-01-01 00:00:17.332302891,3,1,20519,5,1970-01-01 00:04:14.398498,1970-01-03 22:39:58.498,2
1970-01-01 00:00:17.773107515,3,1,20560,5,1970-01-01 00:04:20.868500,1970-01-04 00:27:48.500,1
1970-01-01 00:00:53.167678171,3,2,20781,6,1970-01-01 00:13:00.379708,1970-01-10 00:46:19.708,1
1970-01-01 00:01:07.115574135,3,2,20913,6,1970-01-01 00:16:25.102866,1970-01-12 09:38:22.866,2
1970-01-01 00:01:15.582356932,4,2,20938,7,1970-01-01 00:18:29.375840,1970-01-13 20:09:35.840,1
1970-01-01 00:01:15.704529677,4,2,20941,7,1970-01-01 00:18:31.169056,1970-01-13 20:39:29.056,1
1970-01-01 00:01:15.746421433,4,2,20943,8,1970-01-01 00:18:31.783931,1970-01-13 20:49:43.931,1
1970-01-01 00:01:22.682819208,4,2,21006,8,1970-01-01 00:20:13.594359,1970-01-15 01:06:34.359,2
1970-01-01 00:01:37.942688519,4,2,21153,9,1970-01-01 00:23:57.574280,1970-01-17 15:19:34.280,1
1970-01-01 00:02:01.694862116,5,2,21278,9,1970-01-01 00:29:46.201772,1970-01-21 16:10:01.772,1
1970-01-01 00:02:01.779100058,5,2,21279,10,1970-01-01 00:29:47.438192,1970-01-21 16:30:38.192,1
1970-01-01 00:02:01.836161075,5,2,21281,10,1970-01-01 00:29:48.275717,1970-01-21 16:44:35.717,1
1970-01-01 00:02:14.224972033,5,2,21436,10,1970-01-01 00:32:50.115079,1970-01-23 19:15:15.079,1
1970-01-01 00:02:14.260135082,5,3,21438,11,1970-01-01 00:32:50.631192,1970-01-23 19:23:51.192,1
1970-01-01 00:02:14.550197312,5,3,20600,11,1970-01-01 00:32:54.888641,1970-01-23 20:34:48.641,1
1970-01-01 00:02:14.575809007,5,3,21443,12,1970-01-01 00:32:55.264562,1970-01-23 20:41:04.562,1
1970-01-01 00:02:45.772818447,6,3,21722,12,1970-01-01 00:40:33.165188,1970-01-29 03:52:45.188,2
1970-01-01 00:02:54.469630196,6,3,21796,12,1970-01-01 00:42:40.814460,1970-01-30 15:20:14.460,5
