;max_concurrent_tasks;aggregation_queries_count;id;total_queries_count;ts_submit;ts_submit_dt;ts_submit_dt2
0;3;10;24345;12;7892997578;1970-04-02 08:29:57.578;1970-01-01 00:08:57.754058360
1;1;2;21436;2;1970115079;1970-01-23 19:15:15.079;1970-01-01 00:02:14.224972033
2;2;1;21722;2;2433165188;1970-01-29 03:52:45.188;1970-01-01 00:02:45.772818447
3;5;3;21796;7;2560814460;1970-01-30 15:20:14.460;1970-01-01 00:02:54.469630196
4;1;1;21852;1;2705380047;1970-02-01 07:29:40.047;1970-01-01 00:03:04.318959343
5;1;1;21854;1;2705810885;1970-02-01 07:36:50.885;1970-01-01 00:03:04.348312562
6;1;1;21859;1;2745548409;1970-02-01 18:39:08.409;1970-01-01 00:03:07.055650882
7;1;1;21855;1;2707125104;1970-02-01 07:58:45.104;1970-01-01 00:03:04.437850991
8;1;1;21860;1;2787391231;1970-02-02 06:16:31.231;1970-01-01 00:03:09.906424257
9;1;1;24449;1;8215134927;1970-04-06 01:58:54.927;1970-01-01 00:09:19.701444643
10;1;1;24450;1;8215276831;1970-04-06 02:01:16.831;1970-01-01 00:09:19.711112637
11;1;1;24452;1;8215550998;1970-04-06 02:05:50.998;1970-01-01 00:09:19.729791778
12;1;3;22378;3;4375125613;1970-02-20 15:18:45.613;1970-01-01 00:04:58.079599160
13;2;5;22476;6;4478468383;1970-02-21 20:01:08.383;1970-01-01 00:05:05.120396198
14;1;1;22343;1;4317323475;1970-02-19 23:15:23.475;1970-01-01 00:04:54.141509229
15;2;3;22377;4;4369306514;1970-02-20 13:41:46.514;1970-01-01 00:04:57.683140898
16;1;1;22345;1;4319891913;1970-02-19 23:58:11.913;1970-01-01 00:04:54.316498255
17;2;2;24652;3;8497528566;1970-04-09 08:25:28.566;1970-01-01 00:09:38.941071151
18;1;6;22342;6;4317698815;1970-02-19 23:21:38.815;1970-01-01 00:04:54.167081340
