Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,total_queries_count,ts_submit,ts_submit_dt,standard_queries_count,first_name_queries_count,last_name_queries_count,country_queries_count,other_queries_count
0,1,1,10,1158705474716,2006-09-19 22:37:54.716000000,9,3,2,2,2
1,1,3,20,1158706766716,2006-09-19 22:38:03.663669906,17,6,4,4,3
2,2,107,670,1158707924716,2006-09-19 22:38:11.683330705,563,204,121,136,102
3,1,1,10,1158710610716,2006-09-19 22:38:30.285065510,9,4,2,2,1
4,1,1,10,1158711688716,2006-09-19 22:38:37.750691020,9,1,2,2,4
5,1,8,110,1158713930716,2006-09-19 22:38:53.277529976,102,40,23,20,19
6,1,6,110,1158714436716,2006-09-19 22:38:56.781803174,104,38,26,22,18
7,1,73,410,1158715519716,2006-09-19 22:39:04.282055890,337,141,68,81,47
8,1,15,110,1158716678716,2006-09-19 22:39:12.308642130,95,22,23,23,27
9,1,3,20,1158788582716,2006-09-19 22:47:30.275559279,17,5,4,4,4
10,1,1,10,1158791971716,2006-09-19 22:47:53.745879180,9,2,2,2,3
11,1,3,20,1158792853716,2006-09-19 22:47:59.854118234,17,7,4,4,2
12,1,3,20,1158796498716,2006-09-19 22:48:25.097351059,17,6,4,4,3
13,1,1,20,1158800741716,2006-09-19 22:48:54.481997663,19,8,4,4,3
14,1,1,20,1158802331716,2006-09-19 22:49:05.493449019,19,8,4,4,3
15,1,1,20,1158805470716,2006-09-19 22:49:27.232408645,19,4,4,4,7
16,1,1,20,1158809246716,2006-09-19 22:49:53.382874254,19,6,4,4,5
17,1,2,20,1158818369716,2006-09-19 22:50:56.563673446,18,7,4,4,3
18,1,2,20,1158860285716,2006-09-19 22:55:46.850462766,18,3,4,4,7
19,1,1,20,1158872601716,2006-09-19 22:57:12.144195404,19,6,4,4,5
20,1,2,20,1158873525716,2006-09-19 22:57:18.543302984,18,4,4,4,6
21,1,1,20,1158874621716,2006-09-19 22:57:26.133586434,19,8,4,4,3
22,1,1,10,1158876993716,2006-09-19 22:57:42.560732733,9,1,2,2,4
23,1,1,10,1158975004716,2006-09-19 23:09:01.330140786,9,4,2,2,1
24,1,2,20,1158975068716,2006-09-19 23:09:01.773369017,18,3,4,4,7
25,1,67,400,1159230626716,2006-09-19 23:38:31.625246697,333,114,80,83,56
26,1,32,410,1159230987716,2006-09-19 23:38:34.125330936,378,116,94,94,74
27,2,83,660,1159296461716,2006-09-19 23:46:07.561661786,577,129,144,144,160
28,2,184,1330,1159300075716,2006-09-19 23:46:32.590205936,1146,418,274,271,183
29,5,168,2950,1159305652716,2006-09-19 23:47:11.213390973,2782,1118,467,692,505
30,1,14,100,1159313258716,2006-09-19 23:48:03.888296011,86,41,9,19,17
31,1,7,100,1159314736716,2006-09-19 23:48:14.124097963,93,36,22,21,14
32,1,3,60,1159314931716,2006-09-19 23:48:15.474558978,57,19,13,14,11
33,1,1,10,1159316836716,2006-09-19 23:48:28.667524282,9,2,2,2,3
34,1,1,10,1159321892716,2006-09-19 23:49:03.682554504,9,4,2,2,1
35,1,3,20,1159322663716,2006-09-19 23:49:09.022069595,17,3,4,4,6
36,1,1,20,1159323697716,2006-09-19 23:49:16.182975697,19,6,4,4,5
37,1,1,20,1159381749716,2006-09-19 23:55:58.218682672,19,8,4,4,3
38,1,1,10,1159383277716,2006-09-19 23:56:08.800756679,9,2,2,2,3
39,1,2,20,1159383444716,2006-09-19 23:56:09.957305343,18,4,4,4,6
40,1,1,20,1159383700716,2006-09-19 23:56:11.730218266,19,3,4,4,8
41,1,2,20,1159384139716,2006-09-19 23:56:14.770486910,18,4,4,4,6
42,1,1,20,1159384351716,2006-09-19 23:56:16.238680425,19,7,4,4,4
43,1,3,20,1159384590716,2006-09-19 23:56:17.893860848,17,4,4,4,5
44,1,1,10,1159384742716,2006-09-19 23:56:18.946527896,9,4,2,2,1
45,1,1,10,1159385146716,2006-09-19 23:56:21.744406102,9,4,2,2,1
46,1,1,20,1159385533716,2006-09-19 23:56:24.424551810,19,9,4,3,3
47,1,2,20,1159389682716,2006-09-19 23:56:53.158206950,18,6,4,4,4
48,1,2,20,1159389959716,2006-09-19 23:56:55.076554136,18,7,4,4,3
49,1,1,10,1159390425716,2006-09-19 23:56:58.303809691,9,4,2,2,1
50,1,1,10,1159390638716,2006-09-19 23:56:59.778928646,9,3,2,2,2
51,1,1,10,1159390847716,2006-09-19 23:57:01.226345837,9,3,2,2,2
52,1,3,20,1159391071716,2006-09-19 23:57:02.777644644,17,8,2,4,3
53,1,3,20,1159391856716,2006-09-19 23:57:08.214115911,17,6,4,4,3
54,1,2,20,1159394259716,2006-09-19 23:57:24.855950884,18,4,4,4,6
55,1,3,20,1159394756716,2006-09-19 23:57:28.297895113,17,6,4,4,3
56,1,1,20,1159395139716,2006-09-19 23:57:30.950339056,19,4,4,4,7
57,1,1,10,1159396201716,2006-09-19 23:57:38.305157508,9,2,2,2,3
58,1,1,10,1159396286716,2006-09-19 23:57:38.893820002,9,2,2,2,3
59,1,1,10,1159397058716,2006-09-19 23:57:44.240260534,9,2,2,2,3
60,1,1,10,1159473907716,2006-09-20 00:06:36.453483943,9,2,2,2,3
61,1,1,10,1159473981716,2006-09-20 00:06:36.965966585,9,4,2,2,1
62,1,1,10,1159474295716,2006-09-20 00:06:39.140555091,9,2,2,2,3
63,1,2,20,1159481923716,2006-09-20 00:07:31.967819833,18,7,4,4,3
64,1,1,10,1159486844716,2006-09-20 00:08:06.047915507,9,3,2,2,2
65,1,1,10,1159486908716,2006-09-20 00:08:06.491143737,9,2,2,2,3
66,1,1,10,1159488026716,2006-09-20 00:08:14.233786892,9,2,2,2,3
67,1,3,20,1159489659716,2006-09-20 00:08:25.543032215,17,6,4,4,3
68,1,1,10,1159489813716,2006-09-20 00:08:26.609550145,9,2,2,2,3
69,1,3,20,1159489834716,2006-09-20 00:08:26.754984408,17,4,4,4,5
70,1,1,10,1159489868716,2006-09-20 00:08:26.990449405,9,2,2,2,3
71,1,1,20,1159491286716,2006-09-20 00:08:36.810724891,19,6,4,4,5
72,1,1,10,1159492851716,2006-09-20 00:08:47.649040219,9,2,2,2,3
73,1,18,110,1159492911716,2006-09-20 00:08:48.064566685,92,33,23,21,15
74,4,366,2350,1159493418716,2006-09-20 00:08:51.575765325,1984,691,485,491,317
75,1,1,10,1159493524716,2006-09-20 00:08:52.309862082,9,1,2,2,4
76,4,389,2350,1159494988716,2006-09-20 00:09:02.448707858,1961,729,460,432,340
77,4,143,2350,1159550716716,2006-09-20 00:15:28.389689707,2207,657,551,551,448
78,1,38,370,1159556254716,2006-09-20 00:16:06.742782542,332,125,70,79,58
79,1,1,20,1159558058716,2006-09-20 00:16:19.236278294,19,7,4,4,4
80,3,174,970,1159560254716,2006-09-20 00:16:34.444546958,796,173,199,199,225
81,1,2,20,1159562840716,2006-09-20 00:16:52.353737653,18,7,4,4,3
82,1,1,10,1159573510716,2006-09-20 00:18:06.248194234,9,1,2,2,4
83,1,3,60,1159574743716,2006-09-20 00:18:14.787263115,57,17,14,14,12
84,4,227,2350,1159576364716,2006-09-20 00:18:26.013403145,2123,944,353,464,362
85,1,1,20,1159578773716,2006-09-20 00:18:42.696790765,19,5,4,4,6
86,1,15,100,1159578982716,2006-09-20 00:18:44.144207956,85,35,12,21,17
87,1,1,10,1159579756716,2006-09-20 00:18:49.504499370,9,4,2,2,1
88,1,71,390,1159581133716,2006-09-20 00:18:59.040831771,319,97,79,79,64
89,1,49,410,1159811059716,2006-09-20 00:45:31.379803071,361,106,90,90,75
90,6,116,1710,1159811515716,2006-09-20 00:45:34.537804214,1594,606,394,280,314
91,1,1,10,1159815549716,2006-09-20 00:46:02.475033628,9,2,2,2,3
92,1,67,410,1159815654716,2006-09-20 00:46:03.202204944,343,170,60,72,41
93,1,1,10,1159815836716,2006-09-20 00:46:04.462635225,9,3,2,2,2
94,1,3,20,1159816208716,2006-09-20 00:46:07.038899316,17,3,4,4,6
95,1,2,20,1159816592716,2006-09-20 00:46:09.698268700,18,6,4,4,4
96,1,2,20,1159816924716,2006-09-20 00:46:11.997515146,18,4,4,4,6
97,1,1,10,1159817259716,2006-09-20 00:46:14.317537916,9,1,2,2,4
98,1,1,10,1159817433716,2006-09-20 00:46:15.522564668,9,4,2,2,1
99,7,136,2060,1159818473716,2006-09-20 00:46:22.725023417,1924,886,234,443,361
100,1,1,20,1159819830716,2006-09-20 00:46:32.122846995,19,7,4,4,4
101,1,2,20,1159820002716,2006-09-20 00:46:33.314022865,18,5,4,4,5
102,1,1,20,1159820214716,2006-09-20 00:46:34.782216379,19,6,4,4,5
103,1,1,10,1159820627716,2006-09-20 00:46:37.642423555,9,4,2,2,1
104,1,1,10,1159832513716,2006-09-20 00:47:59.958216518,9,2,2,2,3
105,1,1,20,1159837754716,2006-09-20 00:48:36.254453345,19,5,4,4,6
106,1,1,10,1159840320716,2006-09-20 00:48:54.025135218,9,3,2,2,2
107,1,1,10,1159840428716,2006-09-20 00:48:54.773082857,9,1,2,2,4
108,1,1,10,1159841885716,2006-09-20 00:49:04.863450546,9,3,2,2,2
109,1,1,10,1159842665716,2006-09-20 00:49:10.265294607,9,1,2,2,4
110,1,1,10,1159904979716,2006-09-20 00:56:21.817231568,9,3,2,2,2
111,1,1,20,1159907163716,2006-09-20 00:56:36.942394939,19,8,4,4,3
112,1,3,20,1159907592716,2006-09-20 00:56:39.913409173,17,5,4,4,4
113,1,1,10,1159909127716,2006-09-20 00:56:50.543961267,9,1,2,2,4
114,1,1,10,1159909327716,2006-09-20 00:56:51.929049488,9,1,2,2,4
115,1,3,20,1159910044716,2006-09-20 00:56:56.894590760,17,4,4,4,5
116,1,1,10,1159912187716,2006-09-20 00:57:11.735811046,9,3,2,2,2
117,1,1,10,1159912770716,2006-09-20 00:57:15.773343210,9,3,2,2,2
118,1,1,10,1159915296716,2006-09-20 00:57:33.267007439,9,2,2,2,3
119,3,106,810,1159916135716,2006-09-20 00:57:39.077452525,704,242,172,158,132
120,1,1,10,1159918173716,2006-09-20 00:57:53.191501495,9,3,2,2,2
121,3,145,790,1159919683716,2006-09-20 00:58:03.648917562,645,143,161,161,180
122,1,1,10,1159921566716,2006-09-20 00:58:16.689523161,9,2,2,2,3
123,1,1,10,1159922942716,2006-09-20 00:58:26.218930120,9,2,2,2,3
124,1,1,10,1159923251716,2006-09-20 00:58:28.358891422,9,4,2,2,1
125,1,1,10,1159925165716,2006-09-20 00:58:41.614185695,9,1,2,2,4
126,1,1,10,1159925240716,2006-09-20 00:58:42.133593778,9,3,2,2,2
127,1,1,10,1159925790716,2006-09-20 00:58:45.942586385,9,3,2,2,2
128,1,1,10,1159940496716,2006-09-20 01:00:27.788123262,9,4,2,2,1
129,1,2,20,1159941362716,2006-09-20 01:00:33.785555258,18,9,2,4,3
130,1,1,10,1159985916716,2006-09-20 01:05:42.341658210,9,4,2,2,1
131,1,1,10,1159987291716,2006-09-20 01:05:51.864139728,9,1,2,2,4
132,1,2,40,1159987647716,2006-09-20 01:05:54.329596761,38,10,9,9,10
133,1,4,40,1159988156716,2006-09-20 01:05:57.854646283,36,11,9,9,7
134,1,1,10,1159988953716,2006-09-20 01:06:03.374222843,9,3,2,2,2
135,1,10,110,1159989135716,2006-09-20 01:06:04.634653124,100,26,25,25,24
136,1,14,110,1159989875716,2006-09-20 01:06:09.759479541,96,31,24,24,17
137,1,17,110,1159990360716,2006-09-20 01:06:13.118318476,93,46,9,20,18
138,1,5,50,1159992590716,2006-09-20 01:06:28.562052138,45,15,10,11,9
139,1,1,10,1159994002716,2006-09-20 01:06:38.340774977,9,3,2,2,2
140,1,1,10,1159994814716,2006-09-20 01:06:43.964233154,9,2,2,2,3
141,1,9,110,1159996566716,2006-09-20 01:06:56.097605968,101,47,10,25,19
142,1,6,50,1159997468716,2006-09-20 01:07:02.344353844,44,20,10,6,8
143,1,10,110,1160000161716,2006-09-20 01:07:20.994566738,100,40,20,23,17
144,1,4,50,1160000426716,2006-09-20 01:07:22.829808630,46,20,9,11,6
145,1,12,220,1160000499716,2006-09-20 01:07:23.335365831,208,60,52,52,44
146,1,1,10,1160000709716,2006-09-20 01:07:24.789708463,9,2,2,2,3
147,1,13,110,1160000859716,2006-09-20 01:07:25.828524628,97,48,16,23,10
148,1,1,10,1160001258716,2006-09-20 01:07:28.591775629,9,3,2,2,2
149,1,1,10,1160001538716,2006-09-20 01:07:30.530899138,9,4,2,2,1
150,1,1,10,1160001579716,2006-09-20 01:07:30.814842223,9,1,2,2,4
151,1,1,10,1160001632716,2006-09-20 01:07:31.181890602,9,3,2,2,2
152,1,1,10,1160002910716,2006-09-20 01:07:40.032604333,9,2,2,2,3
153,1,13,110,1160003343716,2006-09-20 01:07:43.031320331,97,19,24,24,30
154,1,1,10,1160003787716,2006-09-20 01:07:46.106216181,9,1,2,2,4
155,1,1,10,1160005190716,2006-09-20 01:07:55.822610050,9,1,2,2,4
156,1,1,10,1160005493716,2006-09-20 01:07:57.921018705,9,3,2,2,2
157,1,1,10,1160005596716,2006-09-20 01:07:58.634339138,9,2,2,2,3
158,1,1,20,1160008462716,2006-09-20 01:08:18.482653343,19,3,4,4,8
159,1,1,10,1160010287716,2006-09-20 01:08:31.121583358,9,4,2,2,1
160,1,1,10,1160010372716,2006-09-20 01:08:31.710245852,9,1,2,2,4
161,1,15,110,1160010946716,2006-09-20 01:08:35.685449045,95,27,23,23,22
162,1,1,10,1160011188716,2006-09-20 01:08:37.361405792,9,3,2,2,2
163,1,1,10,1160011874716,2006-09-20 01:08:42.112258390,9,3,2,2,2
164,1,1,10,1160012502716,2006-09-20 01:08:46.461435403,9,2,2,2,3
165,1,1,10,1160013296716,2006-09-20 01:08:51.960235640,9,4,2,2,1
166,1,1,10,1160013428716,2006-09-20 01:08:52.874393866,9,3,2,2,2
167,1,1,10,1160013501716,2006-09-20 01:08:53.379951066,9,1,2,2,4
168,1,6,110,1160013575716,2006-09-20 01:08:53.892433708,104,52,24,17,11
169,1,15,110,1160013860716,2006-09-20 01:08:55.866184423,95,30,23,23,19
170,1,1,10,1160037124716,2006-09-20 01:11:36.979646268,9,4,2,2,1
171,1,2,50,1160037167716,2006-09-20 01:11:37.277440236,48,23,9,7,9
172,1,31,250,1160037281716,2006-09-20 01:11:38.066940522,219,94,44,54,27
173,1,51,610,1160038140716,2006-09-20 01:11:44.015894430,559,162,139,139,119
174,1,1,10,1160072660716,2006-09-20 01:15:43.082121343,9,4,2,2,1
175,1,8,110,1160074010716,2006-09-20 01:15:52.431466834,102,49,14,20,19
176,1,1,10,1160076483716,2006-09-20 01:16:09.558082684,9,3,2,2,2
177,1,65,610,1160090983716,2006-09-20 01:17:49.976978694,545,221,115,116,93
178,1,1,10,1160092149716,2006-09-20 01:17:58.052043021,9,3,2,2,2
179,1,1,10,1160092166716,2006-09-20 01:17:58.169775520,9,1,2,2,4
180,1,5,50,1160092321716,2006-09-20 01:17:59.243218891,45,10,11,11,13
181,1,1,20,1160092477716,2006-09-20 01:18:00.323587703,19,4,4,4,7
182,1,20,110,1160092976716,2006-09-20 01:18:03.779382814,90,45,9,18,18
183,1,110,610,1160093142716,2006-09-20 01:18:04.929006038,500,228,65,108,99
184,1,9,110,1160093539716,2006-09-20 01:18:07.678406156,101,40,25,21,15
185,1,16,110,1160094627716,2006-09-20 01:18:15.213286077,94,40,16,22,16
186,1,3,20,1160095173716,2006-09-20 01:18:18.994576920,17,5,4,4,4
187,1,1,10,1160095359716,2006-09-20 01:18:20.282708965,9,4,2,2,1
188,1,1,10,1160095513716,2006-09-20 01:18:21.349226895,9,3,2,2,2
189,1,1,10,1160095989716,2006-09-20 01:18:24.645736861,9,1,2,2,4
190,1,1,10,1160096048716,2006-09-20 01:18:25.054337886,9,3,2,2,2
191,1,1,10,1160096132716,2006-09-20 01:18:25.636074939,9,2,2,2,3
192,1,1,10,1160096252716,2006-09-20 01:18:26.467127871,9,4,2,2,1
193,1,1,10,1160096304716,2006-09-20 01:18:26.827250809,9,1,2,2,4
194,1,1,10,1160096950716,2006-09-20 01:18:31.301085762,9,4,2,2,1
195,1,1,10,1160097102716,2006-09-20 01:18:32.353752810,9,2,2,2,3
