;max_concurrent_tasks;aggregation_queries_count;id;total_queries_count;ts_submit;ts_submit_dt;elapsed_time;scaled_elapsed_time;ts_submit_dt2
0;66;5;1;90;1316640617;2011-09-21 21:30:17;0 days 00:00:00;0 days 00:00:00;2011-09-21 21:30:17.000000000
1;46;3;2;51;1316640646;2011-09-21 21:30:46;0 days 00:00:29;0 days 00:00:01.472486089;2011-09-21 21:30:18.472486089
2;40;7;3;145;1316648837;2011-09-21 23:47:17;0 days 02:17:00;0 days 00:06:57.373643345;2011-09-21 21:37:14.373643345
3;90;7;4;349;1316648840;2011-09-21 23:47:20;0 days 02:17:03;0 days 00:06:57.525969492;2011-09-21 21:37:14.525969492
4;74;5;5;271;1316648851;2011-09-21 23:47:31;0 days 02:17:14;0 days 00:06:58.084498698;2011-09-21 21:37:15.084498698
5;81;5;6;271;1316648846;2011-09-21 23:47:26;0 days 02:17:09;0 days 00:06:57.830621786;2011-09-21 21:37:14.830621786
6;64;7;7;271;1316648855;2011-09-21 23:47:35;0 days 02:17:18;0 days 00:06:58.287600228;2011-09-21 21:37:15.287600228
7;70;7;8;271;1316648859;2011-09-21 23:47:39;0 days 02:17:22;0 days 00:06:58.490701758;2011-09-21 21:37:15.490701758
8;70;4;9;271;1316648869;2011-09-21 23:47:49;0 days 02:17:32;0 days 00:06:58.998455582;2011-09-21 21:37:15.998455582
9;88;5;10;271;1316648864;2011-09-21 23:47:44;0 days 02:17:27;0 days 00:06:58.744578670;2011-09-21 21:37:15.744578670
10;80;4;11;271;1316648873;2011-09-21 23:47:53;0 days 02:17:36;0 days 00:06:59.201557111;2011-09-21 21:37:16.201557111
11;3;4;12;8;1316671973;2011-09-22 06:12:53;0 days 08:42:36;0 days 00:26:32.112890600;2011-09-21 21:56:49.112890600
12;3;4;13;8;1316671978;2011-09-22 06:12:58;0 days 08:42:41;0 days 00:26:32.366767512;2011-09-21 21:56:49.366767512
13;3;5;14;8;1316671975;2011-09-22 06:12:55;0 days 08:42:38;0 days 00:26:32.214441365;2011-09-21 21:56:49.214441365
14;3;5;15;8;1316671996;2011-09-22 06:13:16;0 days 08:42:59;0 days 00:26:33.280724395;2011-09-21 21:56:50.280724395
15;3;5;16;8;1316671994;2011-09-22 06:13:14;0 days 08:42:57;0 days 00:26:33.179173630;2011-09-21 21:56:50.179173630
16;3;5;17;8;1316671998;2011-09-22 06:13:18;0 days 08:43:01;0 days 00:26:33.382275160;2011-09-21 21:56:50.382275160
17;3;4;18;8;1316672558;2011-09-22 06:22:38;0 days 08:52:21;0 days 00:27:01.816489305;2011-09-21 21:57:18.816489305
18;3;4;19;8;1316672556;2011-09-22 06:22:36;0 days 08:52:19;0 days 00:27:01.714938540;2011-09-21 21:57:18.714938540
19;3;5;20;8;1316672560;2011-09-22 06:22:40;0 days 08:52:23;0 days 00:27:01.918040070;2011-09-21 21:57:18.918040070
20;3;4;21;8;1316676374;2011-09-22 07:26:14;0 days 09:55:57;0 days 00:30:15.575348551;2011-09-21 22:00:32.575348551
21;3;5;22;8;1316676379;2011-09-22 07:26:19;0 days 09:56:02;0 days 00:30:15.829225463;2011-09-21 22:00:32.829225463
22;3;4;23;8;1316676376;2011-09-22 07:26:16;0 days 09:55:59;0 days 00:30:15.676899316;2011-09-21 22:00:32.676899316
23;3;5;24;8;1316679983;2011-09-22 08:26:23;0 days 10:56:06;0 days 00:33:18.823703641;2011-09-21 22:03:35.823703641
24;3;5;25;8;1316679981;2011-09-22 08:26:21;0 days 10:56:04;0 days 00:33:18.722152876;2011-09-21 22:03:35.722152876
25;3;5;26;8;1316679985;2011-09-22 08:26:25;0 days 10:56:08;0 days 00:33:18.925254405;2011-09-21 22:03:35.925254405
26;3;5;27;8;1316682936;2011-09-22 09:15:36;0 days 11:45:19;0 days 00:35:48.763407874;2011-09-21 22:06:05.763407874
27;3;5;28;8;1316682934;2011-09-22 09:15:34;0 days 11:45:17;0 days 00:35:48.661857109;2011-09-21 22:06:05.661857109
28;3;5;29;8;1316682937;2011-09-22 09:15:37;0 days 11:45:20;0 days 00:35:48.814183256;2011-09-21 22:06:05.814183256
29;3;5;30;8;1316687437;2011-09-22 10:30:37;0 days 13:00:20;0 days 00:39:37.303404066;2011-09-21 22:09:54.303404066
30;3;5;31;8;1316687436;2011-09-22 10:30:36;0 days 13:00:19;0 days 00:39:37.252628683;2011-09-21 22:09:54.252628683
31;3;5;32;8;1316687439;2011-09-22 10:30:39;0 days 13:00:22;0 days 00:39:37.404954831;2011-09-21 22:09:54.404954831
32;3;4;33;8;1316690919;2011-09-22 11:28:39;0 days 13:58:22;0 days 00:42:34.103285590;2011-09-21 22:12:51.103285590
33;3;5;34;8;1316690917;2011-09-22 11:28:37;0 days 13:58:20;0 days 00:42:34.001734825;2011-09-21 22:12:51.001734825
34;3;5;35;8;1316690921;2011-09-22 11:28:41;0 days 13:58:24;0 days 00:42:34.204836355;2011-09-21 22:12:51.204836355
35;4;5;36;11;1316782415;2011-09-23 12:53:35;1 days 15:23:18;0 days 01:59:59.847673852;2011-09-21 23:30:16.847673852
36;4;5;37;11;1316782410;2011-09-23 12:53:30;1 days 15:23:13;0 days 01:59:59.593796940;2011-09-21 23:30:16.593796940
37;4;5;38;11;1316782418;2011-09-23 12:53:38;1 days 15:23:21;0 days 02:00:00;2011-09-21 23:30:17.000000000
