mongo client connection created with mongodb://mongo-0.mongo,mongo-1.mongo,mongo-2.mongo:27017/ycsb?replicaSet=rs0
[OVERALL], RunTime(ms), 6399
[OVERALL], Throughput(ops/sec), 156.2744178777934
[TOTAL_GCS_Copy], Count, 3
[TOTAL_GC_TIME_Copy], Time(ms), 16
[TOTAL_GC_TIME_%_Copy], Time(%), 0.25003906860446945
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 3
[TOTAL_GC_TIME], Time(ms), 16
[TOTAL_GC_TIME_%], Time(%), 0.25003906860446945
[READ], Operations, 490
[READ], AverageLatency(us), 10695.120408163266
[READ], MinLatency(us), 91
[READ], MaxLatency(us), 5079039
[READ], 95thPercentileLatency(us), 457
[READ], 99thPercentileLatency(us), 676
[READ], Return=OK, 490
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 1109.0
[CLEANUP], MinLatency(us), 1109
[CLEANUP], MaxLatency(us), 1109
[CLEANUP], 95thPercentileLatency(us), 1109
[CLEANUP], 99thPercentileLatency(us), 1109
[UPDATE], Operations, 510
[UPDATE], AverageLatency(us), 1824.9019607843138
[UPDATE], MinLatency(us), 534
[UPDATE], MaxLatency(us), 50431
[UPDATE], 95thPercentileLatency(us), 1731
[UPDATE], 99thPercentileLatency(us), 42015
[UPDATE], Return=OK, 510
